,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
163,1,18,0,193,193,1,0
164,1,19,0,193,193,1,0
165,1,20,0,193,193,1,0
166,1,21,0,193,193,2,0
167,1,22,0,193,193,2,0
168,1,23,1,193,193,1,1
169,1,24,0,193,193,2,0
170,1,25,0,193,193,1,0
75,0,1,0,195,0,2,0
76,0,2,0,195,0,2,0
77,0,3,0,195,0,1,0
78,0,4,0,195,0,3,0
79,0,5,0,195,0,3,0
80,0,6,0,195,0,1,0
81,0,7,0,195,0,3,0
82,0,8,0,195,0,3,0
83,0,9,0,195,0,3,0
84,0,10,0,195,0,1,0
85,0,11,0,195,0,1,0
86,0,12,0,195,0,3,0
87,0,13,0,195,0,1,0
88,0,14,0,195,0,2,0
89,0,15,0,195,0,2,0
90,0,16,0,195,0,2,0
91,0,17,0,195,0,3,0
92,0,18,0,195,0,4,0
93,0,19,0,195,0,3,1
94,0,20,0,195,0,2,0
95,0,21,0,195,0,2,0
171,1,1,0,202,193,2,0
172,1,2,0,202,193,0,0
173,1,4,0,202,193,0,0
174,1,5,0,202,193,1,0
175,1,6,0,202,193,0,0
176,1,7,0,202,193,0,0
177,1,8,0,202,193,1,0
178,1,9,0,202,193,1,1
179,1,10,0,202,193,0,0
180,1,11,0,202,193,2,0
181,1,12,0,202,193,0,1
182,1,13,0,202,193,0,0
183,1,14,0,202,193,0,0
184,1,15,0,202,193,1,1
185,1,16,0,202,193,1,0
186,1,17,0,202,193,0,0
187,1,18,0,202,193,0,0
188,1,19,0,202,193,0,0
189,1,20,0,202,193,0,1
190,1,21,0,202,193,1,0
191,1,22,0,202,193,0,0
192,1,23,0,202,193,0,1
193,1,24,0,202,193,0,0
194,1,25,0,202,193,0,1
195,2,1,0,224,236,0,0
196,2,2,0,224,236,0,0
197,2,3,0,224,236,0,0
198,2,4,0,224,236,0,0
199,2,5,0,224,236,0,0
200,2,6,0,224,236,0,0
201,2,7,0,224,236,0,0
202,2,8,0,224,236,0,0
203,2,9,0,224,236,0,0
204,2,10,0,224,236,0,0
205,2,11,0,224,236,0,0
206,2,12,0,224,236,0,0
207,2,13,0,224,236,0,0
208,2,14,0,224,236,0,0
209,2,15,0,224,236,0,0
210,2,16,0,224,236,0,0
211,2,17,0,224,236,0,0
212,2,18,0,224,236,0,0
213,2,19,0,224,236,0,0
214,2,20,0,224,236,0,0
215,2,21,0,224,236,0,0
216,2,22,0,224,236,0,0
217,2,23,0,224,236,0,0
218,2,24,0,224,236,0,0
219,2,25,0,224,236,0,0
319,3,1,0,224,236,0,0
320,3,2,0,224,236,0,0
321,3,3,0,224,236,0,0
322,3,4,0,224,236,0,0
323,3,5,0,224,236,0,0
324,3,6,0,224,236,0,0
325,3,7,0,224,236,0,0
326,3,8,0,224,236,0,0
327,3,9,0,224,236,0,0
328,3,10,0,224,236,0,0
329,3,11,0,224,236,0,0
330,3,12,0,224,236,0,0
331,3,13,0,224,236,0,0
